Date,Placement,Main Home,Store Home,Apps Store,Entertainment Twist,Collections,Social Post (Twitter), Social Post (Facebook),Social Post (Instagram),Email Newsletter Feature,Xbox.com,Estimated Weekly Value
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"450,000 ",0 ,"450,000 "
,Promotional Days,--,--,1,,,1,--,--,,1,--
5-Apr,Promotional Value,0 ,0 ,"10,286 ",0 ,0 ,"49,700 ",0 ,0 ,0 ,"26,250 ","86,236 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"10,286 ",0 ,0 ,"49,700 ",0 ,0 ,0 ,"26,250 ","86,236 "
,Promotional Days,--,--,,3,,,--,--,,,--
12-Apr,Promotional Value,0 ,0 ,0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"30,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"30,857 "
,Promotional Days,--,--,3,,3,,--,--,,,--
19-Apr,Promotional Value,0 ,0 ,"30,857 ",0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,"61,714 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"30,857 ",0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,"61,714 "
,Promotional Days,--,--,,,1,,--,--,1,,--
26-Apr,Promotional Value,0 ,0 ,0 ,0 ,"10,286 ",0 ,0 ,0 ,"450,000 ",0 ,"460,286 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,"10,286 ",0 ,0 ,0 ,"450,000 ",0 ,"460,286 "
,Promotional Days,--,--,,,,,--,--,,,--
1-May,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,3,,,,--,--,,,--
3-May,Promotional Value,0 ,0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"30,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"30,857 "
,Promotional Days,--,--,2,1,,,--,--,,,--
10-May,Promotional Value,0 ,0 ,"20,571 ","10,286 ",0 ,0 ,0 ,0 ,0 ,0 ,"30,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"20,571 ","10,286 ",0 ,0 ,0 ,0 ,0 ,0 ,"30,857 "
,Promotional Days,--,--,,,,,--,--,,,--
17-May,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,,,3,,--,--,,,--
24-May,Promotional Value,0 ,0 ,0 ,0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,"30,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,"30,857 "
,Promotional Days,--,--,,,,,--,--,,,--
31-May,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,,,,,--,--,,,--
1-Jun,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,,,,,--,--,,,--
7-Jun,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,1,,,,--,--,,,--
14-Jun,Promotional Value,0 ,0 ,"10,286 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,286 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"10,286 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,286 "
,Promotional Days,--,--,1,,,,--,--,,,--
21-Jun,Promotional Value,0 ,0 ,"10,286 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,286 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
