Date,Placement,"Editorial Placements (e.g. Featured Free, Streaming Channels, Channel Store - Featured, New & Notable; Recommended, etc.)",Roku Social Post (Facebook),Roku Social Post (Instagram),Roku Social Post (Twitter),Roku Email / Newsletter,.com Feature,Estimated Weekly Value
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"624,000 ",0 ,296 ,567 ,0 ,347 ,"625,210 "
,Promotional Days,7,,,1,,7,--
17-May,Promotional Value,"728,000 ",0 ,0 ,567 ,0 ,810 ,"729,377 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"728,000 ",0 ,0 ,567 ,0 ,810 ,"729,377 "
,Promotional Days,7,,,,1,7,--
24-May,Promotional Value,"728,000 ",0 ,0 ,0 ,"62,500 ",810 ,"791,310 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"728,000 ",0 ,0 ,0 ,"62,500 ",810 ,"791,310 "
,Promotional Days,1,,,,,1,--
31-May,Promotional Value,"104,000 ",0 ,0 ,0 ,0 ,116 ,"104,116 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"104,000 ",0 ,0 ,0 ,0 ,116 ,"104,116 "
,Promotional Days,6,,,,,6,--
1-Jun,Promotional Value,"624,000 ",0 ,0 ,0 ,0 ,694 ,"624,694 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"624,000 ",0 ,0 ,0 ,0 ,694 ,"624,694 "
,Promotional Days,7,,,,,7,--
7-Jun,Promotional Value,"728,000 ",0 ,0 ,0 ,0 ,810 ,"728,810 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"728,000 ",0 ,0 ,0 ,0 ,810 ,"728,810 "
,Promotional Days,7,,,,,7,--
14-Jun,Promotional Value,"728,000 ",0 ,0 ,0 ,0 ,810 ,"728,810 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"728,000 ",0 ,0 ,0 ,0 ,810 ,"728,810 "
,Promotional Days,7,,,,,7,--
21-Jun,Promotional Value,"728,000 ",0 ,0 ,0 ,0 ,810 ,"728,810 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"728,000 ",0 ,0 ,0 ,0 ,810 ,"728,810 "
,Promotional Days,3,1,,,,3,--
28-Jun,Promotional Value,"312,000 ","2,690 ",0 ,0 ,0 ,347 ,"315,037 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"312,000 ","2,690 ",0 ,0 ,0 ,347 ,"315,037 "
,Promotional Days,3,2,2,2,1,4,--
1-Jul,Promotional Value,"312,000 ","5,379 ",592 ,"1,134 ","62,500 ",463 ,"382,067 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"312,000 ","5,379 ",592 ,"1,134 ","62,500 ",463 ,"382,067 "
,Promotional Days,,,,,,7,--
5-Jul,Promotional Value,0 ,0 ,0 ,0 ,0 ,810 ,810 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,810 ,810 
,Promotional Days,,,,,,7,--
12-Jul,Promotional Value,0 ,0 ,0 ,0 ,0 ,810 ,810 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,810 ,810 
,Promotional Days,6,,,,,7,--
19-Jul,Promotional Value,"624,000 ",0 ,0 ,0 ,0 ,810 ,"624,810 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"624,000 ",0 ,0 ,0 ,0 ,810 ,"624,810 "
,Promotional Days,6,,,,,6,--
26-Jul,Promotional Value,"624,000 ",0 ,0 ,0 ,0 ,694 ,"624,694 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"624,000 ",0 ,0 ,0 ,0 ,694 ,"624,694 "
,Promotional Days,1,,,,,1,--
1-Aug,Promotional Value,"104,000 ",0 ,0 ,0 ,0 ,116 ,"104,116 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"104,000 ",0 ,0 ,0 ,0 ,116 ,"104,116 "
,Promotional Days,7,,,,,7,--
2-Aug,Promotional Value,"728,000 ",0 ,0 ,0 ,0 ,810 ,"728,810 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"728,000 ",0 ,0 ,0 ,0 ,810 ,"728,810 "
,Promotional Days,,,,,,7,--
9-Aug,Promotional Value,0 ,0 ,0 ,0 ,0 ,810 ,810 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,810 ,810 
,Promotional Days,1,,,1,,7,--
16-Aug,Promotional Value,"104,000 ",0 ,0 ,567 ,0 ,810 ,"105,377 "
,Contractual Days,,,,,,,--
