Date,Placement,Today Stories (App Store),Hero Banner Takeover​ (App Store),Hero Banner Feature (App Store),Brick Row Takeover​ (App Store),App Recommendation Featuring​ (App Store),What To Watch This Week (App Store) ,App Upsell​ (TV App),App What to Watch Brick Row Takeover​ (TV App),App Editorial featuring in Collections​ (TV App),Apple TV Social Post (Facebook),Apple TV Social Post (Instagram),Apple TV Social Post (Twitter),Apple TV Email / Newsletter,Apple.com Feature,Estimated Weekly Value
,Weekly Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"67,200 ",0 ,0 ,0 ,0 ,0 ,"259,108 "
,Promotional Days,,,5,,,5,,,3,,,,,,--
22-Mar,Promotional Value,0 ,0 ,"68,538 ",0 ,0 ,"68,538 ",0 ,0 ,"50,400 ",0 ,0 ,0 ,0 ,0 ,"187,477 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"68,538 ",0 ,0 ,"68,538 ",0 ,0 ,"50,400 ",0 ,0 ,0 ,0 ,0 ,"187,477 "
,Promotional Days,,,,,,,,,,,,,,,--
29-Mar,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,,,,,,,,,,,,,,--
1-Apr,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,3,,4,,,,,,6,,,,,,--
5-Apr,Promotional Value,"79,200 ",0 ,"54,831 ",0 ,0 ,0 ,0 ,0 ,"100,800 ",0 ,0 ,0 ,0 ,0 ,"234,831 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"79,200 ",0 ,"54,831 ",0 ,0 ,0 ,0 ,0 ,"100,800 ",0 ,0 ,0 ,0 ,0 ,"234,831 "
,Promotional Days,1,,,,,,,,,,,,,,--
12-Apr,Promotional Value,"26,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"26,400 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
