Date,Device,CNT,Owner
2020-10-07,amazon fire tv,1182,Amazon
2020-10-08,amazon fire tablet,1,Amazon
2020-10-08,amazon fire tv,979,Amazon
2020-10-09,amazon fire tablet,2,Amazon
2020-10-09,amazon fire tv,1109,Amazon
2020-10-10,amazon fire tv,1536,Amazon
2020-10-11,amazon fire tablet,3,Amazon
2020-10-11,amazon fire tv,1804,Amazon
2020-10-12,amazon fire tv,1353,Amazon
2020-10-13,amazon fire tv,1064,Amazon
2020-10-14,amazon fire tablet,3,Amazon
2020-10-14,amazon fire tv,1042,Amazon
2020-10-15,amazon fire tablet,1,Amazon
2020-10-15,amazon fire tv,939,Amazon
2020-10-16,amazon fire tablet,1,Amazon
2020-10-16,amazon fire tv,1235,Amazon
2020-10-17,amazon fire tablet,2,Amazon
2020-10-17,amazon fire tv,1772,Amazon
2020-10-18,amazon fire tablet,2,Amazon
2020-10-18,amazon fire tv,2040,Amazon
2020-10-19,amazon fire tablet,2,Amazon
2020-10-19,amazon fire tv,1452,Amazon
2020-10-20,amazon fire tablet,1,Amazon
2020-10-20,amazon fire tv,1468,Amazon
2020-10-21,amazon fire tablet,2,Amazon
2020-10-21,amazon fire tv,1207,Amazon
2020-10-22,amazon fire tablet,1,Amazon
2020-10-22,amazon fire tv,1287,Amazon
2020-10-23,amazon fire tablet,3,Amazon
2020-10-23,amazon fire tv,1351,Amazon
2020-10-24,amazon fire tablet,2,Amazon
2020-10-24,amazon fire tv,1908,Amazon
2020-10-25,amazon fire tablet,1,Amazon
2020-10-25,amazon fire tv,2084,Amazon
2020-10-26,amazon fire tv,1402,Amazon
2020-10-27,amazon fire tv,1216,Amazon
2020-10-28,amazon fire tablet,2,Amazon
2020-10-28,amazon fire tv,1147,Amazon
2020-10-29,amazon fire tablet,3,Amazon
2020-10-29,amazon fire tv,1173,Amazon
2020-10-30,amazon fire tv,1439,Amazon
2020-10-31,amazon fire tablet,2,Amazon
2020-10-31,amazon fire tv,1783,Amazon
2020-11-01,amazon fire tablet,1,Amazon
2020-11-01,amazon fire tv,2541,Amazon
2020-11-02,amazon fire tablet,2,Amazon
2020-11-02,amazon fire tv,1284,Amazon
2020-11-03,amazon fire tablet,2,Amazon
2020-11-03,amazon fire tv,1778,Amazon
2020-11-04,amazon fire tablet,1,Amazon
2020-11-04,amazon fire tv,835,Amazon
2020-11-05,amazon fire tablet,2,Amazon
2020-11-05,amazon fire tv,745,Amazon
