Date,Device,CNT,Owner
2021-06-24,amazon fire tablet,431,Amazon
2021-06-24,amazon fire tv,18111,Amazon
2021-06-25,amazon fire tablet,550,Amazon
2021-06-25,amazon fire tv,26327,Amazon
2021-06-26,amazon fire tablet,604,Amazon
2021-06-26,amazon fire tv,32080,Amazon
2021-06-27,amazon fire tablet,653,Amazon
2021-06-27,amazon fire tv,33994,Amazon
2021-06-28,amazon fire tablet,534,Amazon
2021-06-28,amazon fire tv,26135,Amazon
2021-06-29,amazon fire tablet,520,Amazon
2021-06-29,amazon fire tv,24674,Amazon
2021-06-30,amazon fire tablet,503,Amazon
2021-06-30,amazon fire tv,22432,Amazon
2021-07-01,amazon fire tablet,539,Amazon
2021-07-01,amazon fire tv,28783,Amazon
2021-07-02,amazon fire tablet,757,Amazon
2021-07-02,amazon fire tv,66248,Amazon
2021-07-03,amazon fire tablet,657,Amazon
2021-07-03,amazon fire tv,59256,Amazon
2021-07-04,amazon fire tablet,561,Amazon
2021-07-04,amazon fire tv,41192,Amazon
2021-07-05,amazon fire tablet,662,Amazon
2021-07-05,amazon fire tv,69406,Amazon
2021-07-06,amazon fire tablet,672,Amazon
2021-07-06,amazon fire tv,34325,Amazon
2021-07-07,amazon fire tablet,634,Amazon
2021-07-07,amazon fire tv,29249,Amazon
2021-07-08,amazon fire tablet,617,Amazon
2021-07-08,amazon fire tv,26199,Amazon
2021-07-09,amazon fire tablet,617,Amazon
2021-07-09,amazon fire tv,25533,Amazon
2021-07-10,amazon fire tablet,889,Amazon
2021-07-10,amazon fire tv,28620,Amazon
2021-07-11,amazon fire tablet,953,Amazon
2021-07-11,amazon fire tv,45778,Amazon
2021-07-12,amazon fire tablet,799,Amazon
2021-07-12,amazon fire tv,23315,Amazon
2021-07-13,amazon fire tablet,731,Amazon
2021-07-13,amazon fire tv,21599,Amazon
2021-07-14,amazon fire tablet,625,Amazon
2021-07-14,amazon fire tv,20246,Amazon
2021-07-15,amazon fire tablet,749,Amazon
2021-07-15,amazon fire tv,36339,Amazon
2021-07-16,amazon fire tablet,824,Amazon
2021-07-16,amazon fire tv,37009,Amazon
2021-07-17,amazon fire tablet,902,Amazon
2021-07-17,amazon fire tv,29849,Amazon
2021-07-18,amazon fire tablet,1035,Amazon
2021-07-18,amazon fire tv,40257,Amazon
2021-07-19,amazon fire tablet,713,Amazon
2021-07-19,amazon fire tv,23367,Amazon
2021-07-20,amazon fire tablet,712,Amazon
2021-07-20,amazon fire tv,22556,Amazon
2021-07-21,amazon fire tablet,743,Amazon
2021-07-21,amazon fire tv,23392,Amazon
2021-07-22,amazon fire tablet,704,Amazon
2021-07-22,amazon fire tv,24028,Amazon
2021-07-23,amazon fire tablet,1219,Amazon
2021-07-23,amazon fire tv,42569,Amazon
2021-07-24,amazon fire tablet,1383,Amazon
2021-07-24,amazon fire tv,53468,Amazon
2021-07-25,amazon fire tablet,1457,Amazon
2021-07-25,amazon fire tv,57276,Amazon
2021-07-26,amazon fire tablet,1039,Amazon
2021-07-26,amazon fire tv,42085,Amazon
2021-07-27,amazon fire tablet,958,Amazon
2021-07-27,amazon fire tv,48463,Amazon
2021-07-28,amazon fire tablet,870,Amazon
2021-07-28,amazon fire tv,37755,Amazon
2021-07-29,amazon fire tablet,844,Amazon
2021-07-29,amazon fire tv,41911,Amazon
2021-07-30,amazon fire tablet,670,Amazon
2021-07-30,amazon fire tv,38958,Amazon
2021-07-31,amazon fire tablet,730,Amazon
2021-07-31,amazon fire tv,47314,Amazon
2021-08-01,amazon fire tablet,710,Amazon
2021-08-01,amazon fire tv,37493,Amazon
2021-08-02,amazon fire tablet,650,Amazon
2021-08-02,amazon fire tv,26522,Amazon
2021-08-03,amazon fire tablet,659,Amazon
2021-08-03,amazon fire tv,28883,Amazon
2021-08-04,amazon fire tablet,533,Amazon
2021-08-04,amazon fire tv,23356,Amazon
2021-08-05,amazon fire tablet,530,Amazon
2021-08-05,amazon fire tv,23807,Amazon
2021-08-06,amazon fire tablet,493,Amazon
2021-08-06,amazon fire tv,24168,Amazon
2021-08-07,amazon fire tablet,511,Amazon
2021-08-07,amazon fire tv,25596,Amazon
2021-08-08,amazon fire tablet,498,Amazon
2021-08-08,amazon fire tv,25920,Amazon
2021-08-09,amazon fire tablet,414,Amazon
2021-08-09,amazon fire tv,17364,Amazon
2021-08-10,amazon fire tablet,458,Amazon
2021-08-10,amazon fire tv,16587,Amazon
2021-08-11,amazon fire tablet,492,Amazon
2021-08-11,amazon fire tv,15983,Amazon
2021-08-12,amazon fire tablet,393,Amazon
2021-08-12,amazon fire tv,15668,Amazon
2021-08-13,amazon fire tablet,451,Amazon
2021-08-13,amazon fire tv,17544,Amazon
2021-08-14,amazon fire tablet,518,Amazon
2021-08-14,amazon fire tv,21386,Amazon
2021-08-15,amazon fire tablet,498,Amazon
2021-08-15,amazon fire tv,22079,Amazon
2021-08-16,amazon fire tablet,396,Amazon
2021-08-16,amazon fire tv,15325,Amazon
2021-08-17,amazon fire tablet,414,Amazon
2021-08-17,amazon fire tv,15780,Amazon
2021-08-18,amazon fire tablet,349,Amazon
2021-08-18,amazon fire tv,14698,Amazon
2020-07-15,apple tv,54080,Apple
2020-07-16,apple tv,27199,Apple
2020-07-17,apple tv,24530,Apple
2020-07-18,apple tv,24085,Apple
2020-07-19,apple tv,20872,Apple
2020-07-20,apple tv,11427,Apple
2020-07-21,apple tv,9841,Apple
2020-07-22,apple tv,8970,Apple
2020-07-23,apple tv,7870,Apple
2020-07-24,apple tv,7108,Apple
2020-07-25,apple tv,8793,Apple
2020-07-26,apple tv,10336,Apple
2020-07-27,apple tv,5664,Apple
2020-07-28,apple tv,5162,Apple
2020-07-29,apple tv,4944,Apple
2020-07-30,apple tv,4472,Apple
2020-07-31,apple tv,4468,Apple
2020-08-01,apple tv,5557,Apple
2020-08-02,apple tv,5828,Apple
2020-08-03,apple tv,3622,Apple
2020-08-04,apple tv,3312,Apple
2020-08-05,apple tv,3192,Apple
2020-08-06,apple tv,3310,Apple
2020-08-07,apple tv,3773,Apple
2020-08-08,apple tv,4627,Apple
2020-08-09,apple tv,4895,Apple
2020-08-10,apple tv,3565,Apple
2020-08-11,apple tv,3172,Apple
2020-08-12,apple tv,3198,Apple
2020-08-13,apple tv,3099,Apple
2020-08-14,apple tv,3303,Apple
2020-08-15,apple tv,4228,Apple
2020-08-16,apple tv,4875,Apple
2020-08-17,apple tv,3040,Apple
2020-08-18,apple tv,2653,Apple
2020-08-19,apple tv,2500,Apple
2020-08-20,apple tv,2489,Apple
2020-08-21,apple tv,2894,Apple
2020-08-22,apple tv,4029,Apple
2020-08-23,apple tv,4976,Apple
2020-08-24,apple tv,3681,Apple
2020-08-25,apple tv,3092,Apple
2020-08-26,apple tv,2873,Apple
2020-08-27,apple tv,2666,Apple
2020-08-28,apple tv,3041,Apple
2020-08-29,apple tv,3815,Apple
2020-08-30,apple tv,3977,Apple
2020-08-31,apple tv,2674,Apple
2020-09-01,apple tv,2349,Apple
2020-09-02,apple tv,2267,Apple
2020-09-03,apple tv,2353,Apple
2020-09-04,apple tv,2574,Apple
2020-09-05,apple tv,3280,Apple
2020-09-06,apple tv,3433,Apple
2020-09-07,apple tv,3644,Apple
2020-09-08,apple tv,2451,Apple
2020-09-09,apple tv,2388,Apple
2020-09-10,apple tv,2701,Apple
2020-09-11,apple tv,2865,Apple
2020-09-12,apple tv,6034,Apple
2020-09-13,apple tv,7659,Apple
2020-09-14,apple tv,3843,Apple
2020-09-15,apple tv,2338,Apple
2020-09-16,apple tv,2458,Apple
2020-09-17,apple tv,9178,Apple
2020-09-18,apple tv,4625,Apple
2020-09-19,apple tv,9110,Apple
2020-09-20,apple tv,7977,Apple
2020-09-21,apple tv,2757,Apple
2020-09-22,apple tv,2428,Apple
2020-09-23,apple tv,2025,Apple
2020-09-24,apple tv,1935,Apple
2020-09-25,apple tv,2124,Apple
2020-09-26,apple tv,3028,Apple
2020-09-27,apple tv,3292,Apple
2020-09-28,apple tv,2969,Apple
2020-09-29,apple tv,1780,Apple
2020-09-30,apple tv,1702,Apple
2020-10-01,apple tv,3090,Apple
2020-10-02,apple tv,2724,Apple
2020-10-03,apple tv,4174,Apple
2020-10-04,apple tv,5405,Apple
2020-10-05,apple tv,2533,Apple
2020-10-06,apple tv,2323,Apple
2020-10-07,apple tv,3179,Apple
2020-10-08,apple tv,1994,Apple
2020-10-09,apple tv,2308,Apple
2020-10-10,apple tv,3142,Apple
2020-10-11,apple tv,3652,Apple
2020-10-12,apple tv,2360,Apple
2020-10-13,apple tv,1861,Apple
2020-10-14,apple tv,1841,Apple
2020-10-15,apple tv,1965,Apple
2020-10-16,apple tv,2305,Apple
2020-10-17,apple tv,3414,Apple
2020-10-18,apple tv,3521,Apple
2020-10-19,apple tv,2047,Apple
2020-10-20,apple tv,2055,Apple
2020-10-21,apple tv,1913,Apple
2020-10-22,apple tv,2187,Apple
2020-10-23,apple tv,2404,Apple
2020-10-24,apple tv,3613,Apple
2020-10-25,apple tv,3663,Apple
2020-10-26,apple tv,2215,Apple
2020-10-27,apple tv,2114,Apple
2020-10-28,apple tv,2116,Apple
2020-10-29,apple tv,2143,Apple
2020-10-30,apple tv,2647,Apple
2020-10-31,apple tv,3521,Apple
2020-11-01,apple tv,4236,Apple
2020-11-02,apple tv,1953,Apple
2020-11-03,apple tv,3260,Apple
2020-11-04,apple tv,1583,Apple
2020-11-05,apple tv,1407,Apple
2020-11-06,apple tv,1828,Apple
2020-11-07,apple tv,3232,Apple
2020-11-08,apple tv,4581,Apple
2020-11-09,apple tv,1771,Apple
2020-11-10,apple tv,1630,Apple
2020-11-11,apple tv,1907,Apple
2020-11-12,apple tv,1456,Apple
2020-11-13,apple tv,1560,Apple
2020-11-14,apple tv,2232,Apple
2020-11-15,apple tv,2128,Apple
2020-11-16,apple tv,1282,Apple
2020-11-17,apple tv,1272,Apple
2020-11-18,apple tv,1262,Apple
2020-11-19,apple tv,1214,Apple
2020-11-20,apple tv,1431,Apple
2020-11-21,apple tv,2505,Apple
2020-11-22,apple tv,2602,Apple
2020-11-23,apple tv,1672,Apple
2020-11-24,apple tv,1758,Apple
2020-11-25,apple tv,3656,Apple
2020-11-26,apple tv,5194,Apple
2020-11-27,apple tv,3807,Apple
2020-11-28,apple tv,3901,Apple
2020-11-29,apple tv,3646,Apple
2020-11-30,apple tv,2308,Apple
2020-12-01,apple tv,2386,Apple
2020-12-02,apple tv,2403,Apple
2020-12-03,apple tv,2071,Apple
2020-12-04,apple tv,2056,Apple
2020-12-05,apple tv,2835,Apple
2020-12-06,apple tv,3669,Apple
2020-12-07,apple tv,1834,Apple
2020-12-08,apple tv,1739,Apple
2020-12-09,apple tv,1741,Apple
2020-12-10,apple tv,1661,Apple
2020-12-11,apple tv,2075,Apple
2020-12-12,apple tv,3242,Apple
2020-12-13,apple tv,2977,Apple
2020-12-14,apple tv,1804,Apple
2020-12-15,apple tv,1604,Apple
2020-12-16,apple tv,1738,Apple
2020-12-17,apple tv,1660,Apple
2020-12-18,apple tv,1792,Apple
2020-12-19,apple tv,3531,Apple
2020-12-20,apple tv,2842,Apple
2020-12-21,apple tv,1767,Apple
2020-12-22,apple tv,1567,Apple
2020-12-23,apple tv,1695,Apple
2020-12-24,apple tv,1919,Apple
2020-12-25,apple tv,2646,Apple
2020-12-26,apple tv,3419,Apple
2020-12-27,apple tv,3416,Apple
2020-12-28,apple tv,2772,Apple
2020-12-29,apple tv,2581,Apple
2020-12-30,apple tv,2671,Apple
2020-12-31,apple tv,3003,Apple
2021-01-01,apple tv,8728,Apple
2021-01-02,apple tv,7271,Apple
2021-01-03,apple tv,5764,Apple
2021-01-04,apple tv,3731,Apple
2021-01-05,apple tv,2889,Apple
2021-01-06,apple tv,2355,Apple
2021-01-07,apple tv,2459,Apple
2021-01-08,apple tv,2739,Apple
2021-01-09,apple tv,3531,Apple
2021-01-10,apple tv,3908,Apple
2021-01-11,apple tv,2016,Apple
2021-01-12,apple tv,2028,Apple
2021-01-13,apple tv,1857,Apple
2021-01-14,apple tv,1833,Apple
2021-01-15,apple tv,2095,Apple
2021-01-16,apple tv,3366,Apple
2021-01-17,apple tv,5068,Apple
2021-01-18,apple tv,2309,Apple
2021-01-19,apple tv,2093,Apple
2021-01-20,apple tv,1708,Apple
2021-01-21,apple tv,1556,Apple
2021-01-22,apple tv,1753,Apple
2021-01-23,apple tv,2777,Apple
2021-01-24,apple tv,2329,Apple
2021-01-25,apple tv,1729,Apple
2021-01-26,apple tv,1589,Apple
2021-01-27,apple tv,1508,Apple
2021-01-28,apple tv,1480,Apple
2021-01-29,apple tv,1712,Apple
2021-01-30,apple tv,2744,Apple
2021-01-31,apple tv,3305,Apple
2021-02-01,apple tv,1876,Apple
2021-02-02,apple tv,1707,Apple
2021-02-03,apple tv,1560,Apple
2021-02-04,apple tv,1518,Apple
2021-02-05,apple tv,1738,Apple
2021-02-06,apple tv,2857,Apple
2021-02-07,apple tv,2353,Apple
2021-02-08,apple tv,1613,Apple
2021-02-09,apple tv,1450,Apple
2021-02-10,apple tv,1353,Apple
2021-02-11,apple tv,1397,Apple
2021-02-12,apple tv,1495,Apple
2021-02-13,apple tv,2587,Apple
2021-02-14,apple tv,2944,Apple
2021-02-15,apple tv,2074,Apple
2021-02-16,apple tv,1555,Apple
2021-02-17,apple tv,1511,Apple
2021-02-18,apple tv,1515,Apple
2021-02-19,apple tv,1695,Apple
2021-02-20,apple tv,2238,Apple
2021-02-21,apple tv,2640,Apple
2021-02-22,apple tv,1264,Apple
2021-02-23,apple tv,1124,Apple
2021-02-24,apple tv,1166,Apple
2021-02-25,apple tv,1397,Apple
2021-02-26,apple tv,1685,Apple
2021-02-27,apple tv,2290,Apple
2021-02-28,apple tv,2634,Apple
2021-03-01,apple tv,1452,Apple
2021-03-02,apple tv,1400,Apple
2021-03-03,apple tv,1317,Apple
2021-03-04,apple tv,1368,Apple
2021-03-05,apple tv,1345,Apple
2021-03-06,apple tv,2006,Apple
2021-03-07,apple tv,1964,Apple
2021-03-08,apple tv,1335,Apple
2021-03-09,apple tv,1228,Apple
2021-03-10,apple tv,1164,Apple
2021-03-11,apple tv,1073,Apple
2021-03-12,apple tv,1307,Apple
2021-03-13,apple tv,1962,Apple
2021-03-14,apple tv,1902,Apple
2021-03-15,apple tv,1239,Apple
2021-03-16,apple tv,1267,Apple
2021-03-17,apple tv,1260,Apple
2021-03-18,apple tv,1322,Apple
2021-03-19,apple tv,1293,Apple
2021-03-20,apple tv,1784,Apple
2021-03-21,apple tv,2634,Apple
2021-03-22,apple tv,1359,Apple
2021-03-23,apple tv,1223,Apple
2021-03-24,apple tv,1257,Apple
2021-03-25,apple tv,1264,Apple
2021-03-26,apple tv,1375,Apple
2021-03-27,apple tv,1700,Apple
2021-03-28,apple tv,2265,Apple
2021-03-29,apple tv,1297,Apple
2021-03-30,apple tv,1204,Apple
2021-03-31,apple tv,1276,Apple
2021-04-01,apple tv,1462,Apple
2021-04-02,apple tv,2050,Apple
2021-04-03,apple tv,2001,Apple
2021-04-04,apple tv,2414,Apple
2021-04-05,apple tv,1355,Apple
2021-04-06,apple tv,1402,Apple
2021-04-07,apple tv,1323,Apple
2021-04-08,apple tv,1309,Apple
2021-04-09,apple tv,1390,Apple
2021-04-10,apple tv,3903,Apple
2021-04-11,apple tv,3154,Apple
2021-04-12,apple tv,1137,Apple
2021-04-13,apple tv,1116,Apple
2021-04-14,apple tv,1063,Apple
2021-04-15,apple tv,1084,Apple
2021-04-16,apple tv,1061,Apple
2021-04-17,apple tv,1563,Apple
2021-04-18,apple tv,1582,Apple
2021-04-19,apple tv,1064,Apple
2021-04-20,apple tv,1012,Apple
2021-04-21,apple tv,1048,Apple
2021-04-22,apple tv,1114,Apple
2021-04-23,apple tv,1278,Apple
2021-04-24,apple tv,1888,Apple
2021-04-25,apple tv,1939,Apple
2021-04-26,apple tv,1176,Apple
2021-04-27,apple tv,1086,Apple
2021-04-28,apple tv,1057,Apple
2021-04-29,apple tv,1065,Apple
2021-04-30,apple tv,1268,Apple
2021-05-01,apple tv,1826,Apple
2021-05-02,apple tv,1614,Apple
2021-05-03,apple tv,1127,Apple
2021-05-04,apple tv,1023,Apple
2021-05-05,apple tv,1004,Apple
2021-05-06,apple tv,1466,Apple
2021-05-07,apple tv,1448,Apple
2021-05-08,apple tv,2971,Apple
2021-05-09,apple tv,2300,Apple
2021-05-10,apple tv,1293,Apple
2021-05-11,apple tv,1094,Apple
2021-05-12,apple tv,1079,Apple
2021-05-13,apple tv,1049,Apple
2021-05-14,apple tv,1099,Apple
2021-05-15,apple tv,1585,Apple
2021-05-16,apple tv,1891,Apple
2021-05-17,apple tv,1343,Apple
2021-05-18,apple tv,1367,Apple
2021-05-19,apple tv,1084,Apple
2021-05-20,apple tv,1082,Apple
2021-05-21,apple tv,1381,Apple
2021-05-22,apple tv,2761,Apple
2021-05-23,apple tv,2024,Apple
2021-05-24,apple tv,1184,Apple
2021-05-25,apple tv,1172,Apple
2021-05-26,apple tv,1099,Apple
2021-05-27,apple tv,1064,Apple
2021-05-28,apple tv,1278,Apple
2021-05-29,apple tv,1768,Apple
2021-05-30,apple tv,2152,Apple
2021-05-31,apple tv,1803,Apple
2021-06-01,apple tv,1239,Apple
2021-06-02,apple tv,1165,Apple
2021-06-03,apple tv,1273,Apple
2021-06-04,apple tv,1616,Apple
2021-06-05,apple tv,3005,Apple
2021-06-06,apple tv,2021,Apple
2021-06-07,apple tv,1291,Apple
2021-06-08,apple tv,1143,Apple
2021-06-09,apple tv,1011,Apple
2021-06-10,apple tv,981,Apple
2021-06-11,apple tv,1274,Apple
2021-06-12,apple tv,1359,Apple
2021-06-13,apple tv,1837,Apple
2021-06-14,apple tv,1349,Apple
2021-06-15,apple tv,1299,Apple
2021-06-16,apple tv,1210,Apple
2021-06-17,apple tv,3608,Apple
2021-06-18,apple tv,3531,Apple
2021-06-19,apple tv,2514,Apple
2021-06-20,apple tv,2542,Apple
2021-06-21,apple tv,1518,Apple
2021-06-22,apple tv,1403,Apple
2021-06-23,apple tv,1297,Apple
2021-06-24,apple tv,1509,Apple
2021-06-25,apple tv,2118,Apple
2021-06-26,apple tv,2872,Apple
2021-06-27,apple tv,3058,Apple
2021-06-28,apple tv,2077,Apple
2021-06-29,apple tv,1715,Apple
2021-06-30,apple tv,1641,Apple
2021-07-01,apple tv,2267,Apple
2021-07-02,apple tv,4794,Apple
2021-07-03,apple tv,4400,Apple
2021-07-04,apple tv,3652,Apple
2021-07-05,apple tv,4353,Apple
2021-07-06,apple tv,2703,Apple
2021-07-07,apple tv,2416,Apple
2021-07-08,apple tv,2098,Apple
2021-07-09,apple tv,2360,Apple
2021-07-10,apple tv,2679,Apple
2021-07-11,apple tv,2935,Apple
2021-07-12,apple tv,1905,Apple
2021-07-13,apple tv,1694,Apple
2021-07-14,apple tv,1714,Apple
2021-07-15,apple tv,2716,Apple
2021-07-16,apple tv,2779,Apple
2021-07-17,apple tv,3148,Apple
2021-07-18,apple tv,4218,Apple
2021-07-19,apple tv,2674,Apple
2021-07-20,apple tv,2437,Apple
2021-07-21,apple tv,2820,Apple
2021-07-22,apple tv,3166,Apple
2021-07-23,apple tv,9241,Apple
2021-07-24,apple tv,13260,Apple
2021-07-25,apple tv,14271,Apple
2021-07-26,apple tv,7022,Apple
2021-07-27,apple tv,5313,Apple
2021-07-28,apple tv,4058,Apple
2021-07-29,apple tv,3729,Apple
2021-07-30,apple tv,3210,Apple
2021-07-31,apple tv,4327,Apple
2021-08-01,apple tv,4288,Apple
2021-08-02,apple tv,3056,Apple
2021-08-03,apple tv,3826,Apple
2021-08-04,apple tv,2505,Apple
2021-08-05,apple tv,3174,Apple
2021-08-06,apple tv,2319,Apple
2021-08-07,apple tv,2888,Apple
2021-08-08,apple tv,2718,Apple
2021-08-09,apple tv,1794,Apple
2021-08-10,apple tv,1543,Apple
2021-08-11,apple tv,1569,Apple
2021-08-12,apple tv,1746,Apple
2021-08-13,apple tv,2095,Apple
2021-08-14,apple tv,2711,Apple
2021-08-15,apple tv,2418,Apple
2021-08-16,apple tv,1451,Apple
2021-08-17,apple tv,1504,Apple
2021-08-18,apple tv,1302,Apple
2020-07-15,android tv,8558,Google
2020-07-16,android tv,5257,Google
2020-07-17,android tv,3873,Google
2020-07-18,android tv,3765,Google
2020-07-19,android tv,3462,Google
2020-07-20,android tv,2228,Google
2020-07-21,android tv,2024,Google
2020-07-22,android tv,1821,Google
2020-07-23,android tv,2026,Google
2020-07-24,android tv,2132,Google
2020-07-25,android tv,2619,Google
2020-07-26,android tv,3123,Google
2020-07-27,android tv,1728,Google
2020-07-28,android tv,1663,Google
2020-07-29,android tv,1625,Google
2020-07-30,android tv,1627,Google
2020-07-31,android tv,1731,Google
2020-08-01,android tv,2065,Google
2020-08-02,android tv,2137,Google
2020-08-03,android tv,1344,Google
2020-08-04,android tv,1363,Google
2020-08-05,android tv,1337,Google
2020-08-06,android tv,1479,Google
2020-08-07,android tv,1408,Google
2020-08-08,android tv,1953,Google
2020-08-09,android tv,1919,Google
2020-08-10,android tv,1324,Google
2020-08-11,android tv,1290,Google
2020-08-12,android tv,1267,Google
2020-08-13,android tv,1277,Google
2020-08-14,android tv,1805,Google
2020-08-15,android tv,2404,Google
2020-08-16,android tv,2665,Google
2020-08-17,android tv,1837,Google
2020-08-18,android tv,2102,Google
2020-08-19,android tv,1921,Google
2020-08-20,android tv,1683,Google
2020-08-21,android tv,1652,Google
2020-08-22,android tv,1711,Google
2020-08-23,android tv,1805,Google
2020-08-24,android tv,1392,Google
2020-08-25,android tv,1174,Google
2020-08-26,android tv,1463,Google
2020-08-27,android tv,1326,Google
2020-08-28,android tv,1308,Google
2020-08-29,android tv,1667,Google
2020-08-30,android tv,1617,Google
2020-08-31,android tv,1063,Google
2020-09-01,android tv,955,Google
2020-09-02,android tv,905,Google
2020-09-03,android tv,950,Google
2020-09-04,android tv,986,Google
2020-09-05,android tv,1315,Google
2020-09-06,android tv,1339,Google
2020-09-07,android tv,1364,Google
2020-09-08,android tv,1053,Google
2020-09-09,android tv,1128,Google
2020-09-10,android tv,1540,Google
2020-09-11,android tv,1280,Google
2020-09-12,android tv,2400,Google
2020-09-13,android tv,3170,Google
2020-09-14,android tv,1684,Google
2020-09-15,android tv,1200,Google
2020-09-16,android tv,1167,Google
2020-09-17,android tv,4328,Google
2020-09-18,android tv,2273,Google
2020-09-19,android tv,3897,Google
2020-09-20,android tv,3620,Google
2020-09-21,android tv,1592,Google
2020-09-22,android tv,1446,Google
2020-09-23,android tv,1386,Google
2020-09-24,android tv,1393,Google
2020-09-25,android tv,1463,Google
2020-09-26,android tv,1645,Google
2020-09-27,android tv,1775,Google
2020-09-28,android tv,1318,Google
2020-09-29,android tv,953,Google
2020-09-30,android tv,861,Google
2020-10-01,android tv,1042,Google
2020-10-02,android tv,984,Google
2020-10-03,android tv,1661,Google
2020-10-04,android tv,1867,Google
2020-10-05,android tv,947,Google
2020-10-06,android tv,967,Google
2020-10-07,android tv,837,Google
2020-10-08,android tv,837,Google
2020-10-09,android tv,990,Google
2020-10-10,android tv,1320,Google
2020-10-11,android tv,1636,Google
2020-10-12,android tv,1101,Google
2020-10-13,android tv,828,Google
2020-10-14,android tv,836,Google
2020-10-15,android tv,899,Google
2020-10-16,android tv,1025,Google
2020-10-17,android tv,1571,Google
2020-10-18,android tv,1613,Google
2020-10-19,android tv,947,Google
2020-10-20,android tv,1106,Google
2020-10-21,android tv,992,Google
2020-10-22,android tv,1153,Google
2020-10-23,android tv,1158,Google
2020-10-24,android tv,1619,Google
2020-10-25,android tv,1665,Google
2020-10-26,android tv,1051,Google
2020-10-27,android tv,1028,Google
2020-10-28,android tv,958,Google
2020-10-29,android tv,951,Google
2020-10-30,android tv,1215,Google
2020-10-31,android tv,1388,Google
2020-11-01,android tv,1961,Google
2020-11-02,android tv,991,Google
2020-11-03,android tv,1608,Google
2020-11-04,android tv,673,Google
2020-11-05,android tv,695,Google
2020-11-06,android tv,1005,Google
2020-11-07,android tv,1691,Google
2020-11-08,android tv,2286,Google
2020-11-09,android tv,1062,Google
2020-11-10,android tv,974,Google
2020-11-11,android tv,1137,Google
2020-11-12,android tv,990,Google
2020-11-13,android tv,1021,Google
2020-11-14,android tv,1347,Google
2020-11-15,android tv,1359,Google
2020-11-16,android tv,961,Google
2020-11-17,android tv,1011,Google
2020-11-18,android tv,928,Google
2020-11-19,android tv,963,Google
2020-11-20,android tv,885,Google
2020-11-21,android tv,1383,Google
2020-11-22,android tv,1474,Google
2020-11-23,android tv,1097,Google
2020-11-24,android tv,977,Google
2020-11-25,android tv,1786,Google
2020-11-26,android tv,2712,Google
2020-11-27,android tv,3920,Google
2020-11-28,android tv,3715,Google
2020-11-29,android tv,3583,Google
2020-11-30,android tv,2336,Google
2020-12-01,android tv,2954,Google
2020-12-02,android tv,2772,Google
2020-12-03,android tv,2680,Google
2020-12-04,android tv,1786,Google
2020-12-05,android tv,2032,Google
2020-12-06,android tv,2373,Google
2020-12-07,android tv,1246,Google
2020-12-08,android tv,1128,Google
2020-12-09,android tv,1140,Google
2020-12-10,android tv,1170,Google
2020-12-11,android tv,1323,Google
2020-12-12,android tv,1917,Google
2020-12-13,android tv,1890,Google
2020-12-14,android tv,1079,Google
2020-12-15,android tv,927,Google
2020-12-16,android tv,973,Google
2020-12-17,android tv,1013,Google
2020-12-18,android tv,1056,Google
2020-12-19,android tv,1810,Google
2020-12-20,android tv,1444,Google
2020-12-21,android tv,948,Google
2020-12-22,android tv,970,Google
2020-12-23,android tv,981,Google
2020-12-24,android tv,1106,Google
2020-12-25,android tv,1379,Google
2020-12-26,android tv,1762,Google
2020-12-27,android tv,1828,Google
2020-12-28,android tv,1394,Google
2020-12-29,android tv,1370,Google
2020-12-30,android tv,1490,Google
2020-12-31,android tv,1721,Google
2021-01-01,android tv,4886,Google
2021-01-02,android tv,4253,Google
2021-01-03,android tv,3665,Google
2021-01-04,android tv,2559,Google
2021-01-05,android tv,1935,Google
2021-01-06,android tv,1650,Google
2021-01-07,android tv,1675,Google
2021-01-08,android tv,1649,Google
2021-01-09,android tv,2271,Google
2021-01-10,android tv,3098,Google
2021-01-11,android tv,1428,Google
2021-01-12,android tv,1421,Google
2021-01-13,android tv,1345,Google
2021-01-14,android tv,1265,Google
2021-01-15,android tv,1313,Google
2021-01-16,android tv,2448,Google
2021-01-17,android tv,2912,Google
2021-01-18,android tv,1425,Google
2021-01-19,android tv,1490,Google
2021-01-20,android tv,1083,Google
2021-01-21,android tv,1053,Google
2021-01-22,android tv,1049,Google
2021-01-23,android tv,1539,Google
2021-01-24,android tv,1363,Google
2021-01-25,android tv,1055,Google
2021-01-26,android tv,1015,Google
2021-01-27,android tv,944,Google
2021-01-28,android tv,916,Google
2021-01-29,android tv,1003,Google
2021-01-30,android tv,1541,Google
2021-01-31,android tv,1776,Google
2021-02-01,android tv,1153,Google
2021-02-02,android tv,1340,Google
2021-02-03,android tv,1285,Google
2021-02-04,android tv,1303,Google
2021-02-05,android tv,2459,Google
2021-02-06,android tv,4247,Google
2021-02-07,android tv,3875,Google
2021-02-08,android tv,2095,Google
2021-02-09,android tv,2248,Google
2021-02-10,android tv,2156,Google
2021-02-11,android tv,2055,Google
2021-02-12,android tv,1604,Google
2021-02-13,android tv,1942,Google
2021-02-14,android tv,2161,Google
2021-02-15,android tv,1535,Google
2021-02-16,android tv,1342,Google
2021-02-17,android tv,1232,Google
2021-02-18,android tv,1198,Google
2021-02-19,android tv,1797,Google
2021-02-20,android tv,2427,Google
2021-02-21,android tv,2573,Google
2021-02-22,android tv,1513,Google
2021-02-23,android tv,1375,Google
2021-02-24,android tv,1411,Google
2021-02-25,android tv,1522,Google
