Date,Device,CNT
7/27/2020,web,20383
7/27/2020,xbox one,2802
7/27/2020,xfinity,32380
7/28/2020,amazon fire tv,2299
7/28/2020,android mobile,24849
7/28/2020,android tv,1663
7/28/2020,apple tv,5162
7/28/2020,cox,5889
7/28/2020,ios mobile,33073
7/28/2020,lg smart tv,2612
7/28/2020,ps4,77
7/28/2020,roku,100
7/28/2020,samsung tv,226
7/28/2020,unknown,2298
7/28/2020,vizio,6990
7/28/2020,web,18275
7/28/2020,xbox one,2460
7/28/2020,xfinity,28381
7/29/2020,amazon fire tablet,1
7/29/2020,amazon fire tv,2512
7/29/2020,android mobile,27902
7/29/2020,android tv,1625
7/29/2020,apple tv,4944
7/29/2020,cox,5745
7/29/2020,ios mobile,32239
7/29/2020,lg smart tv,2581
7/29/2020,ps4,68
7/29/2020,roku,106
7/29/2020,samsung tv,271
7/29/2020,unknown,2108
7/29/2020,vizio,6633
7/29/2020,web,15618
7/29/2020,xbox one,2284
7/29/2020,xfinity,29222
7/30/2020,amazon fire tablet,2
7/30/2020,amazon fire tv,3146
7/30/2020,android mobile,24444
7/30/2020,android tv,1627
7/30/2020,apple tv,4472
7/30/2020,chromecast receiver app,1
7/30/2020,cox,5216
7/30/2020,ios mobile,29476
7/30/2020,lg smart tv,2488
7/30/2020,ps4,1802
7/30/2020,roku,101
7/30/2020,samsung tv,227
7/30/2020,unknown,2189
7/30/2020,vizio,6284
7/30/2020,web,15969
7/30/2020,xbox one,2249
7/30/2020,xfinity,28167
7/31/2020,amazon fire tablet,3
7/31/2020,amazon fire tv,3632
7/31/2020,android mobile,23229
7/31/2020,android tv,1731
7/31/2020,apple tv,4468
7/31/2020,cox,5220
7/31/2020,ios mobile,31018
7/31/2020,lg smart tv,2506
7/31/2020,ps4,44227
7/31/2020,roku,117
7/31/2020,samsung tv,270
7/31/2020,unknown,2157
7/31/2020,vizio,6646
7/31/2020,web,16293
7/31/2020,xbox one,1996
7/31/2020,xfinity,30205
8/1/2020,amazon fire tv,4041
8/1/2020,android mobile,22440
8/1/2020,android tv,2065
8/1/2020,apple tv,5557
8/1/2020,chromecast receiver app,1
8/1/2020,cox,6453
8/1/2020,ios mobile,30797
8/1/2020,lg smart tv,3101
8/1/2020,ps4,43204
8/1/2020,roku,105
8/1/2020,samsung tv,286
8/1/2020,unknown,1968
8/1/2020,vizio,8145
8/1/2020,web,13336
8/1/2020,xbox one,2435
8/1/2020,xfinity,37635
